TUMORS	NORMALS
SLX-18967.UDP0126.HT3G5DMXX.s_1	SLX-18967.UDP0129.HT3G5DMXX.s_1
SLX-18967.UDP0146.HT3G5DMXX.s_1	SLX-18967.UDP0149.HT3G5DMXX.s_1
